GMT-M1,GMT-M1,JH-V1 SK38,JH-V1 SK38,JH-V2,JH-V2,Niky,Niky,L-V1,L-V1,
296,11.63,296,12.13,296,9.31,296,7.62,296,9.5,124
297,10.31,297,11.5,297,8.94,297,7.5,297,7.75,125
298,10.44,298,11.19,298,8.44,298,7.81,298,7.87,126
299,10.38,299,10.75,299,8.5,299,8.19,299,8.25,127
300,9.88,300,10.31,300,8.56,300,7.81,300,7.69,128
301,9.44,301,10.13,301,8,301,8,301,7.25,129
302,8.06,302,9.75,302,7.19,302,6,302,6.25,130
303,6.56,303,7.69,303,4.62,303,4.12,303,3.19,131
304,5.56,304,6.87,304,3.56,304,3.44,304,1.81,132
305,6.56,305,7.5,305,4,305,5.19,305,2.94,133
306,9.25,306,9.88,306,7.69,306,8.44,306,9.25,134
307,11.88,307,12.63,307,15.81,307,10.94,307,12.94,135
308,15.88,308,14.06,308,18.06,308,15.44,308,14.81,136
309,16.44,309,15.44,309,19.44,309,17.19,309,15.31,137
310,17.75,310,15.5,310,15.56,310,16.5,310,15.81,138
311,17.31,311,15.19,311,15.63,311,15.69,311,14.81,139
312,19.62,312,15.81,312,16.31,312,16.25,312,16.06,140
313,20,313,16.44,313,17.94,313,18.87,313,17.19,141
314,18.81,314,16.12,314,16.44,314,15.38,314,15.63,142
315,19,315,15.88,315,17.25,315,15.63,315,15.63,143
316,17.12,316,15.44,316,16.12,316,14.88,316,14.69,144
317,14.75,317,14.44,317,14.13,317,13.5,317,13.13,145
318,13.63,318,13.94,318,13.25,318,12.69,318,12.31,146
319,12.88,319,13.44,319,12.31,319,11.75,319,11.19,147
320,10.81,320,12.25,320,10.75,320,8.38,320,9.81,148
321,9.38,321,11.19,321,9.88,321,6.69,321,6.37,149
322,7.87,322,9.19,322,6.69,322,5.5,322,2.94,150
323,6.31,323,7.75,323,4.19,323,3.5,323,1.94,151
324,5.25,324,6.62,324,2.5,324,2.56,324,0.75,152
325,4.19,325,5.44,325,1.5,325,1.37,325,0,153
326,3.5,326,5.37,326,0.56,326,0.75,326,-0.37,154
327,2.69,327,4.5,327,0.5,327,0.56,327,-1.31,155
328,2.31,328,3.75,328,-0.25,328,0.44,328,-1.25,156
329,3.56,329,4.5,329,1.31,329,2.19,329,0.88,157
330,7.12,330,7.87,330,4.87,330,6.19,330,6.31,158
331,11,331,12,331,16.19,331,10.25,331,14.13,159
332,14.25,332,14.25,332,17.81,332,15.06,332,15.69,160
333,15.94,333,15.75,333,18.94,333,20.69,333,16.31,161
334,17.5,334,16.56,334,20.81,334,23.37,334,17.81,162
335,18.44,335,17.44,335,24.25,335,23.87,335,18.12,163
336,21.94,336,17.69,336,23.12,336,25.19,336,20.44,164
337,28.69,337,18.25,337,24.69,337,27.12,337,20.5,165
338,38,338,18.62,338,23.69,338,23.37,338,21.5,166
339,40.75,339,19.31,339,23.06,339,21.19,339,21.69,167
340,35,340,18.87,340,22.25,340,19.81,340,21.31,168
341,23.06,341,18.25,341,20.44,341,19.12,341,19.12,169
342,19.87,342,17,342,19.25,342,17.37,342,17.44,170
343,16.75,343,15.44,343,16.44,343,14.75,343,12.25,171
344,14.63,344,13.81,344,13.38,344,11.56,344,9.25,172
345,13.38,345,12.88,345,11.63,345,10.88,345,9,173
346,11.94,346,12,346,10.19,346,9.5,346,8,174
347,11.81,347,11.38,347,9.75,347,10.38,347,7.94,175
348,11,348,11.19,348,9.06,348,9,348,7.62,176
349,10.25,349,10.63,349,8.56,349,8.44,349,7.25,177
350,9.19,350,9.81,350,6.87,350,7.19,350,6,178
351,8.38,351,9.38,351,5.94,351,6.06,351,4.69,179
352,8.19,352,8.75,352,5.44,352,5.69,352,4,180
353,10.13,353,10,353,8.31,353,9.75,353,7.25,181
354,13.31,354,12.81,354,11.44,354,13.19,354,11.81,182
355,16.87,355,15.69,355,16.06,355,16.06,355,15.13,183
356,17.12,356,16.12,356,16.81,356,17.06,356,15.13,184
357,15.19,357,14.5,357,14.88,357,14.25,357,13.19,185
358,16.69,358,14.56,358,14.31,358,13.75,358,13.31,186
359,20.44,359,18.19,359,20.06,359,20.25,359,16.62,187
360,23.5,360,19.37,360,18.56,360,17.37,360,20.31,188
361,21.81,361,19.37,361,20.44,361,13.5,361,19.12,189
362,18.69,362,17.81,362,16.62,362,13.5,362,16.56,190
363,19.5,363,18,363,18.62,363,15,363,17,191
364,18.75,364,17.19,364,17.75,364,15.56,364,16.44,192
365,14.81,365,15,365,14,365,13.19,365,12.19,193
366,11.69,366,12.94,366,11.69,366,10.94,366,10.56,194
367,11.81,367,12.94,367,11.31,367,10.63,367,10.56,195
368,11.88,368,12.88,368,11.06,368,10.56,368,10.5,196
369,11.75,369,12.63,369,10.94,369,10.5,369,10.44,197
370,11.63,370,12.5,370,10.75,370,10.44,370,10.25,198
371,11.56,371,12.44,371,10.75,371,10.44,371,10.25,199
372,11.25,372,12.38,372,10.81,372,10.44,372,10.25,200
373,10.06,373,11.5,373,10.44,373,9.38,373,9.31,201
374,8.38,374,10,374,8.31,374,7.69,374,7.44,202
375,7.87,375,9.44,375,7.37,375,6.69,375,6.5,203
376,6.87,376,8.25,376,6.25,376,5.62,376,5.44,204
377,6.62,377,8.19,377,5.94,377,5.25,377,5.12,205
378,7,378,8.13,378,6.06,378,5.44,378,5.62,206
379,8.31,379,8.69,379,7.06,379,6.19,379,6.5,207
380,9.31,380,9.44,380,8.19,380,7.56,380,7.5,208
381,10.81,381,11.19,381,9.25,381,9.38,381,9,209
382,11.44,382,11.31,382,10.56,382,9.44,382,9.13,210
383,11.19,383,11.06,383,10.19,383,9,383,9.06,211
384,12.44,384,12.63,384,10.88,384,13.94,384,9.81,212
385,13.81,385,12.88,385,11.88,385,15.25,385,11,213
386,17.44,386,12.94,386,12.06,386,14.31,386,11.19,214
387,13.94,387,11.69,387,10.81,387,10.44,387,10.06,215
388,11.44,388,10.56,388,9.25,388,8.69,388,8.56,216
389,10.88,389,10.13,389,10.06,389,8.88,389,8.81,217
390,8.25,390,8.63,390,8.19,390,6.87,390,6.56,218
391,6.81,391,7.87,391,6.44,391,5.81,391,5.44,219
392,5.19,392,6.81,392,4.94,392,4.31,392,3.81,220
393,5.31,393,7.06,393,4.62,393,4.44,393,3.94,221
394,5.87,394,7,394,5.25,394,4.62,394,4.56,222
395,4.81,395,6.06,395,4.25,395,4,395,3.75,223
396,5,396,6.12,396,4.44,396,3.87,396,3.75,224
397,5,397,6.37,397,4.37,397,3.75,397,3.69,225
398,5.12,398,6.5,398,4.25,398,3.44,398,3.69,226
399,3.94,399,5.75,,,399,2.75,399,2.37,227
